sid,group,activity,n,nfree,alloc,ipc15,fpc15,pcall,fscore,maxscore,speed,hirun
0,0,A1,15,0,0.0,0.9333333333333333,0.9333333333333333,0.9333333333333333,13,13,0.8666666666666667,14
0,0,A2,31,16,0.064,0.7333333333333333,0.9333333333333333,0.8064516129032258,19,19,0.6129032258064516,10
0,0,A3,193,178,0.712,0.2,1.0,0.8186528497409327,123,123,0.6373056994818653,33
0,0,A4,71,56,0.224,0.8,0.26666666666666666,0.5352112676056338,5,13,0.5652173913043478,7
1,0,A1,89,74,0.296,0.6666666666666666,0.9333333333333333,0.8876404494382022,69,69,0.7752808988764045,33
1,0,A2,44,29,0.116,0.7333333333333333,0.8,0.7954545454545454,26,27,0.627906976744186,11
1,0,A3,112,97,0.388,0.7333333333333333,0.7333333333333333,0.6696428571428571,38,39,0.35135135135135137,11
1,0,A4,65,50,0.2,0.6666666666666666,0.3333333333333333,0.46153846153846156,0,5,0.3333333333333333,6
2,0,A1,133,118,0.472,0.6666666666666666,0.9333333333333333,0.9022556390977443,107,107,0.8045112781954887,38
2,0,A2,48,33,0.132,0.6,0.4,0.4791666666666667,0,5,0.7142857142857143,3
2,0,A3,15,0,0.0,0.4,0.4,0.4,0,0,0.0,2
2,0,A4,114,99,0.396,0.5333333333333333,0.4,0.49122807017543857,0,11,0.2,7
3,0,A1,60,45,0.18,0.8666666666666667,0.9333333333333333,0.9166666666666666,50,50,0.8333333333333334,15
3,0,A2,34,19,0.076,0.8666666666666667,1.0,0.9411764705882353,30,30,0.8823529411764706,20
3,0,A3,99,84,0.336,0.8,0.9333333333333333,0.7676767676767676,53,53,0.5353535353535354,14
3,0,A4,117,102,0.408,0.4666666666666667,0.5333333333333333,0.4700854700854701,0,0,0.0,5
4,0,A1,141,126,0.504,0.6666666666666666,1.0,0.9432624113475178,125,125,0.8865248226950354,66
4,0,A2,19,4,0.016,0.5333333333333333,0.6,0.5263157894736842,1,2,0.14285714285714285,4
4,0,A3,95,80,0.32,0.6,0.7333333333333333,0.6421052631578947,27,27,0.28421052631578947,9
4,0,A4,55,40,0.16,0.5333333333333333,0.4666666666666667,0.5454545454545454,5,10,0.20833333333333334,7
5,0,A1,136,121,0.484,0.7333333333333333,0.9333333333333333,0.8897058823529411,106,106,0.7910447761194029,33
5,0,A2,31,16,0.064,0.5333333333333333,0.4666666666666667,0.4838709677419355,0,2,0.1,4
5,0,A3,88,73,0.292,0.6666666666666666,0.8,0.5909090909090909,16,16,0.18181818181818182,9
5,0,A4,55,40,0.16,0.6666666666666666,0.6666666666666666,0.6363636363636364,15,17,0.32075471698113206,7
6,0,A1,36,21,0.084,0.6,1.0,0.8055555555555556,22,22,0.6111111111111112,15
6,0,A2,50,35,0.14,1.0,1.0,0.96,46,46,0.92,24
6,0,A3,131,116,0.464,0.5333333333333333,0.8666666666666667,0.7557251908396947,67,67,0.5193798449612403,23
6,0,A4,93,78,0.312,0.5333333333333333,0.3333333333333333,0.5053763440860215,1,9,0.2,7
7,0,A1,66,51,0.204,0.8666666666666667,1.0,0.9242424242424242,56,56,0.8484848484848485,24
7,0,A2,15,0,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,5,5,0.38461538461538464,7
7,0,A3,165,150,0.6,0.6666666666666666,0.8,0.6363636363636364,45,45,0.2727272727272727,10
7,0,A4,64,49,0.196,0.4666666666666667,0.3333333333333333,0.4375,0,1,0.058823529411764705,3
8,0,A1,23,8,0.032,0.6,0.4666666666666667,0.5217391304347826,1,4,0.25,4
8,0,A2,92,77,0.308,0.7333333333333333,0.7333333333333333,0.8369565217391305,62,63,0.7078651685393258,17
8,0,A3,56,41,0.164,0.5333333333333333,0.7333333333333333,0.7142857142857143,24,25,0.45454545454545453,9
8,0,A4,139,124,0.496,0.6,0.4,0.5107913669064749,3,10,0.08771929824561403,6
9,0,A1,49,34,0.136,0.7333333333333333,0.8,0.7551020408163265,25,26,0.5416666666666666,9
9,0,A2,77,62,0.248,0.6666666666666666,0.9333333333333333,0.8311688311688312,51,51,0.68,29
9,0,A3,92,77,0.308,0.6,0.6666666666666666,0.5,0,4,0.6666666666666666,7
9,0,A4,92,77,0.308,0.3333333333333333,0.5333333333333333,0.4891304347826087,0,2,0.05263157894736842,5
11,0,A1,60,45,0.18,0.7333333333333333,0.8666666666666667,0.7166666666666667,26,26,0.43333333333333335,13
11,0,A2,78,63,0.252,0.6,0.5333333333333333,0.5256410256410257,4,7,0.30434782608695654,5
11,0,A3,71,56,0.224,0.4,0.6666666666666666,0.5915492957746479,13,14,0.2,6
11,0,A4,101,86,0.344,0.4666666666666667,0.6,0.5148514851485149,3,5,0.05263157894736842,5
12,0,A1,36,21,0.084,0.7333333333333333,0.8666666666666667,0.8055555555555556,22,22,0.6111111111111112,13
12,0,A2,30,15,0.06,0.8666666666666667,1.0,0.9333333333333333,26,26,0.8666666666666667,18
12,0,A3,36,21,0.084,0.6,0.9333333333333333,0.75,18,18,0.5294117647058824,16
12,0,A4,208,193,0.772,0.5333333333333333,0.7333333333333333,0.5240384615384616,10,16,0.18181818181818182,8
13,0,A1,59,44,0.176,0.7333333333333333,0.9333333333333333,0.864406779661017,43,43,0.7288135593220338,15
13,0,A2,83,68,0.272,0.3333333333333333,0.5333333333333333,0.42168674698795183,0,2,0.5,5
13,0,A3,99,84,0.336,0.7333333333333333,0.8666666666666667,0.7070707070707071,41,41,0.41414141414141414,10
13,0,A4,69,54,0.216,0.5333333333333333,0.5333333333333333,0.5652173913043478,9,10,0.15151515151515152,9
14,0,A1,197,182,0.728,0.5333333333333333,0.7333333333333333,0.8730964467005076,147,149,0.764102564102564,41
14,0,A2,60,45,0.18,0.8,0.4666666666666667,0.6166666666666667,14,17,0.2982456140350877,7
14,0,A3,35,20,0.08,0.2,0.6,0.4,0,0,0.0,4
14,0,A4,18,3,0.012,0.4,0.3333333333333333,0.3888888888888889,0,2,0.5,2
16,0,A1,201,186,0.744,0.4,0.9333333333333333,0.8706467661691543,149,149,0.7487437185929648,32
16,0,A2,24,9,0.036,0.4666666666666667,0.4,0.4166666666666667,0,1,0.2,3
16,0,A3,27,12,0.048,0.4,0.26666666666666666,0.3333333333333333,0,1,0.14285714285714285,2
16,0,A4,58,43,0.172,0.4666666666666667,0.6,0.5344827586206896,4,6,0.11538461538461539,5
17,0,A1,29,14,0.056,0.4,0.8666666666666667,0.6206896551724138,7,7,0.2413793103448276,12
17,0,A2,29,14,0.056,0.5333333333333333,0.8666666666666667,0.6896551724137931,11,11,0.4074074074074074,10
17,0,A3,126,111,0.444,0.4,0.5333333333333333,0.6111111111111112,28,29,0.23577235772357724,13
17,0,A4,126,111,0.444,0.3333333333333333,0.5333333333333333,0.5,0,3,0.024793388429752067,6
18,0,A1,123,108,0.432,0.7333333333333333,1.0,0.9024390243902439,99,99,0.8048780487804879,34
18,0,A2,73,58,0.232,0.8666666666666667,0.9333333333333333,0.9041095890410958,59,60,0.8333333333333334,21
18,0,A3,44,29,0.116,0.6666666666666666,0.4,0.5909090909090909,8,11,0.3793103448275862,6
18,0,A4,70,55,0.22,0.6,0.6666666666666666,0.5571428571428572,8,10,0.16129032258064516,11
20,0,A1,95,80,0.32,0.5333333333333333,0.8666666666666667,0.7789473684210526,53,53,0.5578947368421052,15
