sid,form,aic,tau,step,scale,mean,var,delta_mean,delta_var,group
0,delta_mean,701.1472,255.34382882624345,0.8921937088799196,0.0013324450356961648,,,-0.3651790061935207,,0
0,delta_mean + delta_var,703.1472,633.6919130047689,0.9780537008129909,0.5145059494388108,,,0.16789986488585604,-0.18603177822542344,0
0,delta_var,701.1472,150.86804292392358,0.9250333937567204,0.008804104310642966,,,,-0.9532217942351612,0
0,mean,699.1472,382.5332182798258,0.9800514793739848,,-0.00040911523346997576,,,,0
0,mean + delta_mean,486.8968,927.7294370862872,0.8773214295803764,0.0018546655382512347,-0.001968953118327103,,-0.09752203755409516,,0
0,mean + delta_mean + delta_var,490.2942,759.4601089419903,0.9852159134546936,0.009855146049431609,0.0006550360914523378,,0.11127272731852476,-0.897957621973195,0
0,mean + delta_var,703.1472,1000.0,0.9701106352559068,0.0033481526962863915,-0.0016697642430095294,,,-1.0,0
0,mean + var,502.0902,948.9599495774037,0.0037562412519421117,,-0.037102040662810684,-1.0,,,0
0,mean + var + delta_mean,494.94300000000004,456.37704795425077,0.9622753313466874,0.00038309670050299576,-0.003973543516274026,0.8522538411295838,-0.8409868113617709,,0
0,mean + var + delta_mean + delta_var,707.1472,1000.0,0.32912158312602985,0.0065670715049714725,-0.001972895425273245,-1.0,-0.04895118964622976,-0.9458792087201696,0
0,mean + var + delta_var,437.3286,1000.0,0.8609701037569588,0.0037624273753030842,-0.0016908304471371,-0.9380662695181738,,-1.0,0
0,var,505.99,867.5792398626159,0.0028156188643325216,,,-1.0,,,0
0,var + delta_mean,703.1472,962.5952966617124,0.9735075063757778,0.9979758962511238,,0.9116062334393148,0.917822934649715,,0
0,var + delta_mean + delta_var,200.9594,400.7485898996312,0.9839008146434752,0.013794432099656856,,1.0,0.16009244927997526,-0.9988012677651196,0
0,var + delta_var,509.99,1000.0,0.8844006080767495,0.003166523245761801,,-0.9275499204553376,,-0.9999835004774368,0
