sid,group,activity,item,rating,rating_norm
0,0,A1,comp,1,-3.928571428571429
0,0,A2,comp,3,-1.9285714285714288
0,0,A3,comp,7,2.071428571428571
0,0,A4,comp,9,4.071428571428571
0,0,A1,lrn1,3,-1.9285714285714288
0,0,A2,lrn1,6,1.0714285714285712
0,0,A3,lrn1,8,3.071428571428571
0,0,A4,lrn1,6,1.0714285714285712
0,0,A1,lrn2,1,-3.928571428571429
0,0,A2,lrn2,2,-2.928571428571429
0,0,A3,lrn2,3,-1.9285714285714288
0,0,A4,lrn2,6,1.0714285714285712
0,0,A1,int,2,-2.928571428571429
0,0,A2,int,3,-1.9285714285714288
0,0,A3,int,8,3.071428571428571
0,0,A4,int,4,-0.9285714285714288
0,0,A1,prog,1,-3.928571428571429
0,0,A2,prog,6,1.0714285714285712
0,0,A3,prog,9,4.071428571428571
0,0,A4,prog,4,-0.9285714285714288
0,0,A1,rule,10,5.071428571428571
0,0,A2,rule,10,5.071428571428571
0,0,A3,rule,8,3.071428571428571
0,0,A4,rule,2,-2.928571428571429
0,0,A1,time,1,-3.928571428571429
0,0,A2,time,3,-1.9285714285714288
0,0,A3,time,8,3.071428571428571
0,0,A4,time,4,-0.9285714285714288
1,0,A1,comp,1,-5.75
1,0,A2,comp,1,-5.75
1,0,A3,comp,8,1.25
1,0,A4,comp,10,3.25
1,0,A1,lrn1,10,3.25
1,0,A2,lrn1,10,3.25
1,0,A3,lrn1,10,3.25
1,0,A4,lrn1,10,3.25
1,0,A1,lrn2,1,-5.75
1,0,A2,lrn2,1,-5.75
1,0,A3,lrn2,10,3.25
1,0,A4,lrn2,10,3.25
1,0,A1,int,10,3.25
1,0,A2,int,10,3.25
1,0,A3,int,5,-1.75
1,0,A4,int,1,-5.75
1,0,A1,prog,10,3.25
1,0,A2,prog,10,3.25
1,0,A3,prog,6,-0.75
1,0,A4,prog,1,-5.75
1,0,A1,rule,6,-0.75
1,0,A2,rule,6,-0.75
1,0,A3,rule,8,1.25
1,0,A4,rule,10,3.25
1,0,A1,time,10,3.25
1,0,A2,time,9,2.25
1,0,A3,time,4,-2.75
1,0,A4,time,1,-5.75
2,0,A1,comp,1,-4.464285714285714
2,0,A2,comp,9,3.5357142857142856
2,0,A3,comp,7,1.5357142857142856
2,0,A4,comp,7,1.5357142857142856
2,0,A1,lrn1,2,-3.4642857142857144
2,0,A2,lrn1,8,2.5357142857142856
2,0,A3,lrn1,7,1.5357142857142856
2,0,A4,lrn1,7,1.5357142857142856
2,0,A1,lrn2,1,-4.464285714285714
2,0,A2,lrn2,8,2.5357142857142856
2,0,A3,lrn2,10,4.535714285714286
2,0,A4,lrn2,7,1.5357142857142856
2,0,A1,int,5,-0.4642857142857144
2,0,A2,int,5,-0.4642857142857144
2,0,A3,int,4,-1.4642857142857144
2,0,A4,int,5,-0.4642857142857144
2,0,A1,prog,10,4.535714285714286
2,0,A2,prog,3,-2.4642857142857144
2,0,A3,prog,1,-4.464285714285714
2,0,A4,prog,5,-0.4642857142857144
2,0,A1,rule,10,4.535714285714286
2,0,A2,rule,3,-2.4642857142857144
2,0,A3,rule,5,-0.4642857142857144
2,0,A4,rule,5,-0.4642857142857144
2,0,A1,time,7,1.5357142857142856
2,0,A2,time,4,-1.4642857142857144
2,0,A3,time,1,-4.464285714285714
2,0,A4,time,6,0.5357142857142856
3,0,A1,comp,2,-4.107142857142857
3,0,A2,comp,1,-5.107142857142857
3,0,A3,comp,5,-1.1071428571428568
3,0,A4,comp,10,3.8928571428571432
3,0,A1,lrn1,5,-1.1071428571428568
3,0,A2,lrn1,4,-2.1071428571428568
3,0,A3,lrn1,10,3.8928571428571432
3,0,A4,lrn1,9,2.8928571428571432
3,0,A1,lrn2,2,-4.107142857142857
3,0,A2,lrn2,2,-4.107142857142857
3,0,A3,lrn2,3,-3.1071428571428568
3,0,A4,lrn2,10,3.8928571428571432
3,0,A1,int,3,-3.1071428571428568
3,0,A2,int,3,-3.1071428571428568
3,0,A3,int,7,0.8928571428571432
3,0,A4,int,10,3.8928571428571432
3,0,A1,prog,10,3.8928571428571432
3,0,A2,prog,10,3.8928571428571432
3,0,A3,prog,10,3.8928571428571432
3,0,A4,prog,1,-5.107142857142857
3,0,A1,rule,10,3.8928571428571432
3,0,A2,rule,10,3.8928571428571432
3,0,A3,rule,10,3.8928571428571432
3,0,A4,rule,5,-1.1071428571428568
3,0,A1,time,1,-5.107142857142857
3,0,A2,time,1,-5.107142857142857
3,0,A3,time,7,0.8928571428571432
3,0,A4,time,10,3.8928571428571432
4,0,A1,comp,1,-4.678571428571429
4,0,A2,comp,10,4.321428571428571
4,0,A3,comp,6,0.3214285714285712
4,0,A4,comp,8,2.321428571428571
4,0,A1,lrn1,4,-1.6785714285714288
4,0,A2,lrn1,8,2.321428571428571
4,0,A3,lrn1,8,2.321428571428571
4,0,A4,lrn1,8,2.321428571428571
4,0,A1,lrn2,1,-4.678571428571429
4,0,A2,lrn2,3,-2.678571428571429
4,0,A3,lrn2,6,0.3214285714285712
4,0,A4,lrn2,6,0.3214285714285712
4,0,A1,int,9,3.321428571428571
4,0,A2,int,3,-2.678571428571429
4,0,A3,int,7,1.3214285714285712
4,0,A4,int,7,1.3214285714285712
4,0,A1,prog,1,-4.678571428571429
4,0,A2,prog,1,-4.678571428571429
4,0,A3,prog,7,1.3214285714285712
4,0,A4,prog,7,1.3214285714285712
4,0,A1,rule,10,4.321428571428571
4,0,A2,rule,2,-3.678571428571429
4,0,A3,rule,6,0.3214285714285712
4,0,A4,rule,5,-0.6785714285714288
4,0,A1,time,10,4.321428571428571
4,0,A2,time,2,-3.678571428571429
4,0,A3,time,7,1.3214285714285712
4,0,A4,time,6,0.3214285714285712
5,0,A1,comp,1,-5.285714285714286
5,0,A2,comp,9,2.7142857142857144
5,0,A3,comp,3,-3.2857142857142856
5,0,A4,comp,7,0.7142857142857144
5,0,A1,lrn1,9,2.7142857142857144
5,0,A2,lrn1,2,-4.285714285714286
5,0,A3,lrn1,9,2.7142857142857144
5,0,A4,lrn1,8,1.7142857142857144
5,0,A1,lrn2,8,1.7142857142857144
5,0,A2,lrn2,3,-3.2857142857142856
5,0,A3,lrn2,9,2.7142857142857144
5,0,A4,lrn2,7,0.7142857142857144
5,0,A1,int,6,-0.2857142857142856
5,0,A2,int,10,3.7142857142857144
5,0,A3,int,6,-0.2857142857142856
5,0,A4,int,6,-0.2857142857142856
5,0,A1,prog,10,3.7142857142857144
5,0,A2,prog,1,-5.285714285714286
5,0,A3,prog,9,2.7142857142857144
5,0,A4,prog,3,-3.2857142857142856
5,0,A1,rule,10,3.7142857142857144
5,0,A2,rule,2,-4.285714285714286
5,0,A3,rule,8,1.7142857142857144
5,0,A4,rule,5,-1.2857142857142856
5,0,A1,time,10,3.7142857142857144
5,0,A2,time,4,-2.2857142857142856
5,0,A3,time,7,0.7142857142857144
5,0,A4,time,4,-2.2857142857142856
6,0,A1,comp,4,-1.4285714285714288
6,0,A2,comp,1,-4.428571428571429
6,0,A3,comp,8,2.571428571428571
6,0,A4,comp,10,4.571428571428571
6,0,A1,lrn1,6,0.5714285714285712
6,0,A2,lrn1,1,-4.428571428571429
6,0,A3,lrn1,10,4.571428571428571
6,0,A4,lrn1,10,4.571428571428571
6,0,A1,lrn2,1,-4.428571428571429
6,0,A2,lrn2,1,-4.428571428571429
6,0,A3,lrn2,3,-2.428571428571429
6,0,A4,lrn2,1,-4.428571428571429
6,0,A1,int,10,4.571428571428571
6,0,A2,int,9,3.571428571428571
6,0,A3,int,5,-0.4285714285714288
6,0,A4,int,1,-4.428571428571429
6,0,A1,prog,9,3.571428571428571
6,0,A2,prog,10,4.571428571428571
6,0,A3,prog,7,1.5714285714285712
6,0,A4,prog,1,-4.428571428571429
6,0,A1,rule,10,4.571428571428571
