sid,form,aic,tau,step,scale,mean,var,delta_mean,delta_var,diff,delta_diff
0,mean,699.1472,382.53321827982586,0.9800514793739847,,-0.00040911523346997576,,,,,
0,var,505.99,867.5792398626157,0.0028156188643325216,,,-1.0,,,,
0,delta_mean,701.1472,255.34382882624342,0.8921937088799196,0.0013324450356961648,,,-0.36517900619352067,,,
0,delta_var,701.1472,150.86804292392358,0.9250333937567204,0.008804104310642965,,,,-0.9532217942351613,,
0,diff,694.5214,51.40084122678677,0.48528003614515985,,,,,,-0.0126098911679976,
0,delta_diff,701.1472,476.084723887389,0.10612293576152976,0.9606747818256475,,,,,,-1.0
0,mean + var,502.0902,948.9599495774038,0.0037562412519421117,,-0.03710204066281069,-1.0,,,,
0,mean + delta_mean,486.8968,927.7294370862872,0.8773214295803764,0.0018546655382512347,-0.001968953118327103,,-0.09752203755409516,,,
0,mean + delta_var,703.1472,1000.0,0.9701106352559068,0.0033481526962863915,-0.0016697642430095292,,,-1.0,,
0,mean + diff,82368.019,999.9999999999999,0.00018018625087128318,,1.0,,,,-0.002390000256675748,
0,mean + delta_diff,468.6794,1000.0,0.00024092574727805355,0.0,-0.4088483561099417,,,,,1.0
0,var + delta_mean,703.1472,962.5952966617125,0.9735075063757778,0.9979758962511238,,0.9116062334393147,0.917822934649715,,,
0,var + delta_var,509.99,1000.0,0.8844006080767495,0.003166523245761801,,-0.9275499204553375,,-0.9999835004774368,,
0,var + diff,49650.8452,1000.0,0.003021577523033449,,,-1.0,,,-0.0017891134398499652,
0,var + delta_diff,703.1472,1000.0,0.9904404740509567,0.0014662481132259278,,1.0,,,,-0.07668828666366598
0,delta_mean + delta_var,703.1472,633.6919130047689,0.978053700812991,0.5145059494388108,,,0.16789986488585606,-0.18603177822542344,,
0,delta_mean + diff,509.3362,1000.0,0.836609789615474,0.00017561349486044502,,,-0.9999844276293505,,-0.15655881251601889,
0,delta_mean + delta_diff,703.1472,606.886195656414,0.00010988867885252759,7.414878724556768e-05,,,0.9989877970026154,,,0.9992016244479225
0,delta_var + diff,251.7792,1000.0,0.9143101223384069,0.003193548373992845,,,,-1.0,-0.07316443752405022,
0,delta_var + delta_diff,703.1472,416.73563998469996,0.8404795689594888,0.015429470372883652,,,,-1.0,,0.1521889431890953
0,diff + delta_diff,621.2028,825.4077911622176,0.30187781261931995,0.06725622280351927,,,,,-0.002966511079412047,-0.01482218199777672
0,mean + var + delta_mean,494.943,456.3770479542508,0.9622753313466874,0.00038309670050299576,-0.003973543516274026,0.8522538411295838,-0.840986811361771,,,
0,mean + var + delta_var,437.3286,1000.0,0.8609701037569588,0.003762427375303084,-0.0016908304471371,-0.9380662695181738,,-1.0,,
0,mean + var + diff,429.3024,514.9200165178084,0.0004016991760040324,,0.8787150765583002,0.9922132112658134,,,-0.004645701037989406,
0,mean + var + delta_diff,471.9772,1000.0,0.010453022705937128,0.9506408397987672,-0.008539428253370753,-0.35015440477030957,,,,-0.9366491788982462
0,mean + delta_mean + delta_var,490.2942,759.4601089419903,0.9852159134546935,0.009855146049431607,0.0006550360914523378,,0.11127272731852476,-0.897957621973195,,
0,mean + delta_mean + diff,430.707,600.8780100803747,0.820463757479974,0.00030372252100260513,-0.0005478544730425466,,-1.0,,-0.16835000062395364,
0,mean + delta_mean + delta_diff,705.1472,870.9017592614008,0.20623355294331078,0.02443003453444524,-0.0011685216461600225,,-0.17291671453533572,,,0.12975295251394203
0,mean + delta_var + diff,430.0666,1000.0,0.9161062315440692,0.00346773718582452,-0.0011582111168509151,,,-1.0,-0.07102180680743833,
0,mean + delta_var + delta_diff,705.1472,160.9545905733899,0.0005163568425601189,0.0,0.5542931203998064,,,0.5657247972099833,,1.0
0,mean + diff + delta_diff,602.3926,397.21705111173765,0.00035936103061415546,0.2654845422184879,0.5839257939328932,,,,-0.005323837843328959,1.0
0,var + delta_mean + delta_var,200.9594,400.7485898996312,0.9839008146434751,0.013794432099656856,,1.0,0.16009244927997526,-0.9988012677651195,,
0,var + delta_mean + diff,704.2824,951.0985347988629,0.5505022245602522,0.0019436245795038463,,-0.1496947040546667,-0.17361320074495679,,-0.015543222421685852,
0,var + delta_mean + delta_diff,511.8786,910.9157401627513,0.020084963517948057,0.010517909086793148,,-0.21751628270023346,-1.0,,,0.9341424910303343
0,var + delta_var + diff,511.9758,1000.0,0.9151406956553367,0.9950188631963308,,1.0,,-1.0,-0.06746265310297282,
0,var + delta_var + delta_diff,204.1862,344.62591529347907,0.909615641103621,0.016580443875449862,,1.0,,-1.0,,0.17197984172687467
0,var + diff + delta_diff,491.599,661.5536258842163,0.015755639955831135,0.6858487194585698,,-0.26770161663223063,,,-0.0027186674072696695,-0.17533345625295021
0,delta_mean + delta_var + diff,700.5214,700.298511158631,0.9452726543393654,0.00939771628350197,,,0.10932255081108684,-1.0,-0.03702755382383692,
0,delta_mean + delta_var + delta_diff,705.1472,558.0436582566441,0.0,1.0,,,1.0,1.0,,1.0
0,delta_mean + diff + delta_diff,302.8326,915.7220623984092,0.6450781845539162,0.0007112681873422813,,,-0.5418145004528415,,-0.024230598914194584,0.16372419775339855
0,delta_var + diff + delta_diff,49655.201,1000.0,0.8662583143542828,0.008021472920830004,,,,-1.0,-0.045336051354045837,0.08488188739584465
0,mean + var + delta_mean + delta_var,707.1472,1000.0,0.32912158312602985,0.006567071504971473,-0.001972895425273245,-1.0,-0.04895118964622976,-0.9458792087201697,,
0,mean + var + delta_mean + diff,268.99199999999996,807.0442209176044,0.550706123411494,0.0018934463575263076,0.0004331173098416206,-0.17521118143031417,-0.2083483768066602,,-0.020391388085168702,
0,mean + var + delta_mean + delta_diff,258.1626,718.0071911772701,0.014940775903320214,0.14826531578062865,0.00011251721862956238,-0.351741195187259,-0.9995577580868927,,,0.910955601074828
0,mean + var + delta_var + diff,406.5646,157.59297441957486,0.8806976269593144,0.010097279661677632,-0.007604330556246992,1.0,,-1.0,-0.17459591663292634,
0,mean + var + delta_var + delta_diff,707.1472,970.7672844647985,0.9456578141687272,0.010886529018700719,0.000527465328599658,0.9258172227307792,,-0.6434615648691242,,0.08323449453413201
0,mean + var + diff + delta_diff,455.517,1000.0,0.9617242012849105,0.00731894363134317,-0.0015001546872968148,1.0,,,-0.027778230426154134,-0.023597989431740907
0,mean + delta_mean + delta_var + diff,432.632,384.64543449500286,0.5890922951845519,0.0013181850707383598,0.0009354037508332766,,-0.5813937829068865,0.4818107855917727,-0.05350615163261303,
0,mean + delta_mean + delta_var + delta_diff,202.2734,612.3763261588991,0.9207746487178994,0.011313781403930384,0.0008301426850653613,,0.05944682215991793,-0.9999999925895318,,0.07183058051389085
0,mean + delta_mean + diff + delta_diff,288.8204,136.16377533920098,0.6324984112058494,0.0023227136205818274,0.002649251202612167,,-0.9652034823359799,,-0.16824981868567251,0.15721412810788268
0,mean + delta_var + diff + delta_diff,188.853,1000.0,0.8265962674632288,0.00909745789179396,0.002288777927038481,,,-1.0,-0.06692210582963813,0.10283855853691728
0,var + delta_mean + delta_var + diff,261.7586,1000.0,0.9639330181125677,0.007430579656116106,,1.0,0.08939248001245935,-0.9965149416351387,-0.05934031014194614,
0,var + delta_mean + delta_var + delta_diff,516.1408,402.12449919896653,0.930196873784012,0.014550525335013997,,0.9992549198597984,0.02840806252315504,-0.9962368060654905,,0.12915419084726437
0,var + delta_mean + diff + delta_diff,492.9298,264.2208893882578,0.7836894898238963,0.0007826322341181963,,0.7384420154897984,-1.0,,-0.28312948655100667,0.06930443814602248
0,var + delta_var + diff + delta_diff,480.886,608.7130699709511,0.8833062737743378,0.010745472431896367,,1.0,,-0.9999828845113754,-0.11512880183890692,0.11281626701300318
0,delta_mean + delta_var + diff + delta_diff,268.00419999999997,685.4217273425558,0.8773416077068514,0.010075420468896533,,,0.08058797424513003,-1.0,-0.08273150397930573,0.026208812129359806
0,mean + var + delta_mean + delta_var + diff,458.1664,744.6738977660123,0.9586725345934087,0.009285577168349624,0.0012058915062671018,1.0,0.11596343921756838,-1.0,-0.06641304198917042,
0,mean + var + delta_mean + delta_var + delta_diff,709.1472,582.8158270312863,0.9114578674200018,0.011795696424314064,0.0008565699906596721,-0.27128282315170454,0.08033075062560106,-1.0,,0.054715966193596616
