code,uid
0,A100Y89FZO4J0B:3FTOP5WARG367O4MAQ5FL69K51FJ0Y
1,A10BH9PYCYUKDJ:3YWRV122CTEX3TKJHTM8LNOD5E4U85
2,A10DEO061A6L3O:3YW4XOSQKR0FST0YI8DT6D15R8Y1US
3,A11THU6UGG3THR:31QTRG6Q2USZQU35DBL8AUPGQCBPYE
4,A11UQWFUDNIHIL:32ZKVD547G2W6X575LAHPGOE07SB30
5,A12A5GVJX5RZC4:3Y4W8Q93L0Z9X35A3R7T314XUCXDV6
6,A12FCLCVIM2CL3:33JKGHPFYD9ZTS2EETK5CAXEHNKNME
7,A140QSCUDO8CPW:3BDCF01OGY99Z9O7LJS1TDGWL3WYLD
8,A14ADQ7RUN6TDY:37W3JXSD67NPA306PXZ32OXCJ94YW8
9,A15JP0TGZKLNIZ:38YMOXR4MVENRJQ0JE4BJXDJKZC6WH
10,A16OH8XXYY0AAS:3PW9OPU9PRZ68HRWZO3N0U6D8HG12B
11,A16SJ5D3DKUEXJ:30LSNF239VAH8NNU7VOTSTNZPK92IO
12,A17AH7B74XRKX1:3A4TN5196LXUAA4CY6VE4UV61XDHCN
13,A17D65I948OQZM:3TVRFO09GLUKZ4YXGN6ZAZ9NJWELX4
14,A18ABCQ0UCECNP:3A7Y0R2P2P3E4EAXD2UMUKWVF7ZXJ4
15,A19P0GVTAIWID4:3TEM0PF1Q6CT424U0UJ4I8E70GN0D4
16,A19UBZFVUWL1ES:3LOZAJ85YESEYICP6HOUV3AEDWQ2XZ
17,A1A8L6LU8E2YOA:3C6FJU71TR8CIZB1UXK2K0CFYUTYUB
18,A1AO1LLP3INAZF:39RP059MEI8XSJDHB3FWLFXK0ZABMJ
19,A1B4KC5KP7FH1Z:3DZQRBDBSMUVNJM9G7WCF5YE4VT3S8
20,A1B4WL7N3ACF2T:3K4J6M3CXF8SHZC3UMH5DZTHMURGAX
21,A1BF7DK6RJHQA1:34J10VATJGDY06PF96EUOBL25PAIQ3
22,A1BSA7FVVJGZ15:3YDGXNSEO09YMVQ42NVQ8JQJ61684M
23,A1C59M3HPCO503:3DI28L7YXBTY3X3CS8YO2VF25LRE1D
24,A1CKIYN01NV9GJ:3OUYGIZWR8D2TZ7K53AZI2VWEZXP0E
25,A1D4A0N1ZJ3D6G:3WQQ9FUS6B9I7UBDH25DGXWPGUQB80
26,A1EPK034C4K1Q2:3Z4AIRP3C7S79XUTNDOGQK09LQFX1G
27,A1G452MFAS690B:34PGFRQONPQZFE573XY0S1IO656JWA
28,A1GD980NB9Y7SF:3PJUZCGDJ7VZJ1WGJIRHPR1ZST8896
29,A1HGSSITI7GRQS:34X6J5FLPUDUVH9LROZU0C02I5BQJ1
30,A1HSY4DI5PO5Z7:354P56DE9LIDO2NWIJZ2SMAU9YWS7L
31,A1JYOZ111S9MIR:3LBXNTKX0SAPY2XORQ395QISJ2X9XV
32,A1M682B2WUSYJP:32AT8R96GMOFMDZSVRSD2EOEH80SUS
33,A1N4AZ1QXPOPXH:34YB12FSQZ3TJ0LSRP7AMQOHGCAGMD
34,A1NC53WVIE8VVN:3WS1NTTKEZRQ2MIQR0EU68HSCT30FF
35,A1RG0JH5X98J:39GXDJN2OUTXG89JMJWDH9QWJL2V8K
36,A1SXSNMYZCHT0:3I0BTBYZAY0W2DZLWQ6IVTO8I4U0YD
37,A1UEX245I12ZH7:33IZTU6J82G73HTN0W30MLNIBRBXSL
38,A1UHNDB2EQ8TK0:33TIN5LC05PEY7NYWMPBO4P1L8R9Y1
39,A1UT24L635HEZ6:37WLF8U1WQ5WWJWJU0L8VMJOXT7K65
40,A1UXWUM04RAO59:31T4R4OBOTVXHLY0LX92DH6CNVN7CJ
41,A1V1JNPU0KOA3X:308XBLVESJJOPZQ9GBBD7ERU6M4BR2
42,A1WRYUFOYFF8QO:3VHP9MDGROZAWED63G7E19JTLI4FCR
43,A1YC558J4E5KZ:3Y5140Z9DYVD0UO09TZ5O6VS0T7PI2
44,A1YM0IWPC72J7V:3K9FOBBF2IYFNAKTEHJQCXIPHIZNLH
45,A1YTNGH5SMM2CJ:3Z4GS9HPNWPR5434UG1RXVEYMJQ77I
46,A228YSXU6H27QT:35GMH2SV3FWJZPADYAWZERSAYWZOE8
47,A22BQTBZLQETW4:3HMVI3QICK7W92K3S9AI9Y7INXW1YF
48,A22DDO8NILSX6O:3HOSI13XH03N3M5OC67ZXFYQU6ZDDF
49,A23GB80BDI6PPL:3U5NZHP4LSHD4ZDG3BHKOUUD0HMHPX
50,A24LC97AU3QC7G:30LSNF239VAH8NNU7VOTSTNZPJ3I2W
51,A24O8U6HKPJKVA:33LKR6A5KFZ0SGL9I3NJ1HF38UU1T4
52,A266LNUJOVKCDS:3PW9OPU9PRZ68HRWZO3N0U6D8HB217
53,A26DGX4XQWOI7S:3EF8EXOTT2A6EDP4699FZBSUASY1JU
54,A27BRY2BI6NNPW:3I02618YA1LI9LJ03AOJ79J3UO3PUJ
55,A27PVIL93ZMY46:3LOTDFNYA8EJACJBK77FD3QWDYVWFQ
56,A28HB7240OFGEW:3R8YZBNQ9IX1BM8JQFAXXMVTR9HQ7Y
57,A29IBNSV45WIMQ:32XVDSJFP0C346DLSAMLKMUG6TVM2Q
58,A2AGQGMZVSZVUJ:3WQQ9FUS6B9I7UBDH25DGXWPGTBB8J
59,A2AJIRNA6L4IJI:3R2UR8A0IBVS5P1UTFMR2GDHE1ROXW
60,A2AMQX0BQZXG9N:3EJJQNKU9SKYGCTVG3L9TPUS1ZAHRP
61,A2C7A6E70NYNUI:33FOTY3KEN0J6ZJYWHSTC7FZK9C1C5
62,A2CF2BD4Q0ZDJN:37ZHEEHM6X194L2HS4Y1KE2IHH173A
